crab.id,body.size,major.claw,minor.claw,claw.ratio,major.side
1,11,14.75,3.96,3.72,Left
2,10.25,13.03,3.92,3.32,Right
3,9.55,14.6,3.57,4.09,Left
4,6.35,6.83,2.3,2.97,Left
5,9.45,13.17,3.38,3.9,Right
6,6.9,7.37,2.45,3.01,Right
7,8.3,9.98,2.93,3.41,Left
8,11.3,16.47,4.13,3.99,Left
9,10.45,14.06,3.76,3.74,Right
10,6.8,8.51,2.45,3.47,Left
11,6.95,8.28,2.53,3.27,Left
12,4.85,5.05,1.9,2.66,Right
13,8.35,11.37,2.93,3.88,Right
14,7.65,8.82,2.69,3.28,Left
15,7.65,10.26,2.88,3.56,Left
16,6.65,6.27,2.34,2.68,Right
17,8.35,12.02,3.36,3.58,Left
18,7.2,8.06,2.81,2.87,Left
19,10.55,14.68,3.87,3.79,Left
20,7.35,8.7,2.74,3.18,Right
21,7.35,8,3,2.67,Left
22,9,10.61,3.25,3.26,Left
23,9,12.32,3.29,3.74,Left
24,7.25,8.39,3.2,2.62,Right
25,8.1,6.62,2.92,2.27,Right
26,7.6,7.81,2.97,2.63,Left
27,10.15,14.04,3.75,3.74,Left
28,8.1,10.22,3.23,3.16,Right
29,8.85,10.31,3.14,3.28,Right
30,5.8,5.3,2.06,2.57,Right
31,6.55,7.98,2.55,3.13,Right
32,8.9,10.77,3.34,3.22,Left
33,9.75,12.67,3.48,3.64,Left
34,6.15,6.41,2.25,2.85,Right
35,7.5,9.82,2.87,3.42,Left
36,6.7,8.15,2.5,3.26,Right
37,6.85,8.66,2.56,3.38,Left
38,7.1,8.83,2.38,3.71,Right
39,6,5.29,2.1,2.52,Right
40,7.35,9.62,2.44,3.94,Right
41,7.45,8.96,2.76,3.25,Left
42,6.3,7.74,2.54,3.05,Left
43,7.35,8.69,2.58,3.37,Left
44,8,11.11,2.69,4.13,Left
45,7.3,8.38,2.44,3.43,Right
46,6.95,8.15,2.32,3.51,Left
47,6.7,6.87,2.29,3,Right
48,6.8,7.28,2.31,3.15,Right
49,9.35,11.62,3.44,3.38,Left
50,7.4,8.15,2.65,3.08,Left